16.070000;40.650002;1.520000,-15.790000;41.700001;0.610000,19.680000;-12.870000;1.790000,0,-1
25.850000;41.029999;3.670000,-6.270000;36.740002;0.710000,-27.860001;30.049999;1.570000,0,-1
-27.750000;-9.220000;1.880000,-33.480000;33.980000;1.720000,7.270000;44.419998;0.160000,0,-1
-40.959999;23.090000;3.950000,18.520000;44.430000;2.460000,-5.120000;31.180000;4.000000,1,-1
36.950001;0.330000;3.660000,-44.330002;13.430000;1.110000,25.879999;35.369999;4.090000,0,-1
-44.470001;-1.050000;4.400000,43.669998;-1.440000;2.080000,-44.549999;26.580000;5.960000,0,-1
-18.860001;40.540001;4.410000,-37.840000;20.209999;0.980000,-6.990000;35.630001;1.020000,0,-1
-40.549999;-11.520000;3.630000,-29.160000;-10.030000;3.660000,24.160000;44.200001;2.360000,0,-1
-25.190001;-5.810000;4.090000,17.250000;41.490002;0.380000,-32.630001;29.049999;4.160000,0,-1
27.760000;40.509998;3.210000,-35.110001;4.660000;3.050000,25.860001;20.559999;3.240000,0,-1
-40.959999;23.090000;3.950000,18.520000;44.430000;2.460000,-5.120000;31.180000;4.000000,1,10
16.070000;40.650002;1.520000,-15.790000;41.700001;0.610000,19.680000;-12.870000;1.790000,0,-1
-40.959999;23.090000;3.950000,17.600000;44.430000;2.460000,-5.120000;31.180000;4.000000,0,-1
-40.959999;23.090000;3.950000,18.520000;44.430000;2.460000,-5.120000;31.180000;5.760000,1,10
-40.959999;23.090000;3.950000,30.100000;44.430000;3.320000,-5.120000;31.180000;4.000000,1,-1
-40.959999;23.090000;3.950000,17.500000;23.799999;2.460000,-5.120000;31.180000;4.000000,1,10
-40.959999;-3.600000;3.950000,18.520000;44.430000;2.460000,-5.120000;31.180000;4.000000,0,-1
-40.959999;23.090000;3.950000,18.520000;30.600000;2.460000,-5.120000;31.180000;4.000000,0,-1
-40.959999;23.090000;3.950000,21.600000;44.430000;2.460000,-5.120000;31.180000;4.000000,0,-1
-40.959999;23.090000;2.270000,18.520000;44.430000;0.190000,-5.120000;31.180000;4.000000,1,10
-40.959999;23.090000;3.950000,18.520000;44.430000;2.460000,-5.120000;31.180000;4.000000,0,-1
-40.959999;23.090000;3.950000,18.520000;44.430000;2.460000,-5.120000;31.180000;5.760000,1,10
-40.959999;23.090000;3.190000,18.520000;44.430000;2.460000,-5.120000;31.180000;4.000000,0,-1
-36.599998;23.090000;3.950000,30.100000;44.430000;3.320000,-5.120000;31.180000;5.760000,0,-1
-40.959999;23.090000;2.270000,18.520000;44.430000;0.190000,-5.120000;31.180000;4.000000,0,-1
-40.959999;38.400002;3.950000,30.100000;44.430000;3.320000,30.400000;31.180000;4.000000,0,-1
-40.959999;23.090000;2.270000,18.520000;20.299999;0.190000,-5.120000;31.180000;4.000000,1,10
-40.959999;23.090000;2.270000,18.520000;44.430000;2.110000,-5.120000;31.180000;4.000000,0,-1
-24.700001;23.090000;1.190000,17.500000;23.799999;2.460000,-5.120000;31.180000;4.000000,1,10
-40.959999;23.090000;0.890000,30.100000;44.430000;3.320000,-5.120000;31.180000;4.000000,0,-1
-40.959999;23.090000;3.950000,18.520000;44.430000;2.460000,-5.120000;31.180000;5.760000,1,10
-40.959999;23.090000;2.270000,18.520000;20.299999;0.190000,-5.120000;31.180000;4.000000,1,10
-40.959999;23.090000;3.950000,18.520000;44.430000;2.460000,-5.120000;31.180000;5.760000,0,-1
-40.959999;23.090000;3.950000,18.520000;44.430000;4.380000,-5.120000;31.180000;5.760000,1,10
-24.700001;-5.900000;1.190000,17.500000;23.799999;2.460000,-5.120000;31.180000;4.000000,1,-1
-24.700001;23.090000;1.190000,17.500000;24.600000;2.460000,36.000000;31.180000;4.000000,1,10
-24.700001;23.090000;1.190000,18.520000;20.299999;1.130000,-5.120000;31.180000;4.000000,1,13
-40.959999;23.090000;2.270000,17.500000;23.799999;2.460000,-5.120000;31.180000;4.000000,1,10
-40.959999;8.400000;3.950000,18.520000;44.430000;2.460000,-5.120000;31.180000;4.000000,0,-1
-40.959999;23.090000;2.270000,18.520000;20.299999;0.190000,-5.120000;31.180000;3.060000,1,10
-40.959999;23.090000;3.950000,18.520000;44.430000;2.460000,-5.120000;31.180000;5.760000,0,-1
