x,y,risk
16.68,24.799999,0.8372093023255814
27.49,13.02,0.9635416666666666
36.32,-0.15,0.9830508474576272
17.49,35.029999,0.9337748344370861
24.360001,19.84,0.8372093023255814
23.280001,31.51,0.8372093023255814
27.49,13.02,0.9635416666666666
9.64,27.51,0.9337748344370861
23.280001,31.51,0.8372093023255814
24.360001,19.84,0.8372093023255814
16.68,24.799999,0.8372093023255814
27.49,13.02,0.9635416666666666
16.68,24.799999,0.8372093023255814
27.49,13.02,0.9635416666666666
27.49,13.02,0.9635416666666666
23.280001,31.51,0.8372093023255814
9.64,27.51,0.9337748344370861
27.49,13.02,0.9635416666666666
27.49,13.02,0.9635416666666666
16.68,24.799999,0.8372093023255814
27.49,13.02,0.9635416666666666
9.64,27.51,0.9337748344370861
16.68,24.799999,0.8372093023255814
17.299999,24.799999,0.8372093023255814
7.3,34.419998,0.9337748344370861
9.64,27.51,0.9337748344370861
9.64,27.51,0.9337748344370861
9.64,27.51,0.9337748344370861
27.49,13.02,0.9635416666666666
9.64,27.51,0.9337748344370861
9.64,27.51,0.9337748344370861
16.68,24.799999,0.8372093023255814
16.68,24.799999,0.8372093023255814
9.64,27.51,0.9337748344370861
16.68,24.799999,0.8372093023255814
27.49,13.02,0.9635416666666666
16.68,24.799999,0.8372093023255814
27.49,13.02,0.9635416666666666
9.64,27.51,0.9337748344370861
27.49,13.02,0.9635416666666666
9.64,27.51,0.9337748344370861
16.68,24.799999,0.8372093023255814
27.49,13.02,0.9635416666666666
9.64,27.51,0.9337748344370861
27.49,13.02,0.9635416666666666
9.64,28.799999,0.9337748344370861
27.49,13.02,0.9635416666666666
27.49,13.02,0.9635416666666666
16.68,24.799999,0.8372093023255814
16.68,24.799999,0.8372093023255814
27.49,13.02,0.9635416666666666
27.49,13.02,0.9635416666666666
27.49,13.02,0.9635416666666666
9.64,27.51,0.9337748344370861
27.49,21.200001,1.0
27.49,13.02,0.9635416666666666
27.49,20.6,1.0
16.68,24.799999,0.8372093023255814
27.49,13.02,0.9635416666666666
27.49,13.02,0.9635416666666666
27.49,13.02,0.9635416666666666
9.64,27.51,0.9337748344370861
27.49,13.02,0.9635416666666666
27.49,13.02,0.9635416666666666
16.68,24.799999,0.8372093023255814
27.49,13.02,0.9635416666666666
27.49,4.9,0.9635416666666666
16.68,24.799999,0.8372093023255814
27.49,13.02,0.9635416666666666
27.49,13.02,0.9635416666666666
27.49,13.02,0.9635416666666666
16.68,24.799999,0.8372093023255814
27.49,13.02,0.9635416666666666
16.68,24.799999,0.8372093023255814
16.68,24.799999,0.8372093023255814
27.49,13.02,0.9635416666666666
15.7,24.799999,0.8372093023255814
27.49,13.02,0.9635416666666666
27.49,13.02,0.9635416666666666
27.49,13.02,0.9635416666666666
16.68,24.799999,0.8372093023255814
16.68,24.799999,0.8372093023255814
27.49,13.02,0.9635416666666666
27.49,13.02,0.9635416666666666
27.49,13.02,0.9635416666666666
27.49,13.02,0.9635416666666666
27.49,13.02,0.9635416666666666
27.49,13.02,0.9635416666666666
27.49,6.5,0.9635416666666666
16.68,24.799999,0.8372093023255814
16.68,24.799999,0.8372093023255814
27.49,13.02,0.9635416666666666
27.49,6.5,0.9635416666666666
27.49,13.02,0.9635416666666666
27.49,13.02,0.9635416666666666
27.49,13.02,0.9635416666666666
27.49,13.02,0.9635416666666666
27.49,13.02,0.9635416666666666
27.49,13.02,0.9635416666666666
27.49,13.02,0.9635416666666666
16.68,24.799999,0.8372093023255814
27.49,13.02,0.9635416666666666
16.68,24.799999,0.8372093023255814
37.43,5.0,1.0
27.49,13.02,0.9635416666666666
27.49,13.02,0.9635416666666666
27.49,13.02,0.9635416666666666
24.299999,21.639999,0.8372093023255814
16.68,24.799999,0.8372093023255814
27.49,13.02,0.9635416666666666
27.49,13.02,0.9635416666666666
27.49,13.02,0.9635416666666666
27.49,13.02,0.9635416666666666
27.49,13.02,0.9635416666666666
16.68,24.799999,0.8372093023255814
16.68,24.799999,0.8372093023255814
21.799999,13.02,0.9635416666666666
16.68,24.799999,0.8372093023255814
27.49,13.02,0.9635416666666666
21.799999,13.02,0.9635416666666666
21.799999,12.2,0.9635416666666666
21.799999,13.02,0.9635416666666666
27.49,13.02,0.9635416666666666
27.49,13.02,0.9635416666666666
20.200001,13.02,0.9635416666666666
27.49,13.02,0.9635416666666666
16.68,24.799999,0.8372093023255814
27.49,13.02,0.9635416666666666
21.799999,13.02,0.9635416666666666
16.68,24.799999,0.8372093023255814
27.49,13.02,0.9635416666666666
20.200001,13.02,0.9635416666666666
