x,y,cluster
37.23,1.26,1
34.009998,17.4,4
37.23,1.26,1
34.009998,17.4,4
34.009998,17.4,4
37.23,1.26,1
31.4,12.61,2
37.23,1.26,1
26.870001,2.1,1
26.870001,2.1,1
37.23,1.26,1
34.009998,17.4,4
37.23,1.26,1
37.23,1.26,1
37.23,-1.9,1
37.23,1.26,1
37.23,1.26,1
34.009998,17.4,4
26.870001,2.1,1
37.23,1.26,1
26.870001,2.1,1
34.009998,17.4,4
37.23,1.26,1
26.870001,2.1,1
26.870001,2.1,1
19.799999,24.280001,5
31.4,12.61,2
37.23,1.26,1
26.870001,2.1,1
37.23,1.26,1
37.23,1.26,1
34.009998,17.4,4
37.23,1.26,1
19.799999,24.280001,5
19.799999,24.280001,5
37.23,1.26,1
37.23,1.26,1
37.23,1.26,1
26.870001,2.1,1
34.009998,17.4,4
37.23,1.26,1
34.009998,17.4,4
37.23,1.26,1
37.23,3.1,1
34.009998,17.4,4
37.23,3.1,1
19.799999,24.280001,5
26.870001,2.1,1
37.23,1.26,1
26.870001,2.1,1
34.009998,17.4,4
37.23,1.26,1
37.23,1.26,1
37.23,3.1,1
37.23,3.1,1
37.23,1.26,1
34.009998,17.4,4
37.23,3.1,1
37.23,1.26,1
37.23,1.26,1
34.009998,17.4,4
37.23,1.26,1
37.23,3.1,1
37.23,1.26,1
34.009998,17.4,4
34.009998,17.4,4
19.799999,27.6,5
37.23,3.1,1
34.009998,17.4,4
37.23,1.26,1
34.009998,17.4,4
34.009998,17.4,4
34.009998,17.4,4
34.009998,17.4,4
34.009998,17.4,4
24.0,17.4,2
34.009998,12.3,7
34.009998,17.4,4
37.23,1.26,1
37.23,1.26,1
34.009998,17.4,4
34.009998,17.4,4
34.009998,17.4,4
34.009998,17.4,4
34.009998,17.4,4
34.009998,17.4,4
34.009998,17.4,4
34.009998,17.4,4
37.23,1.26,1
34.009998,17.4,4
34.009998,17.4,4
34.009998,17.4,4
37.23,1.26,1
34.009998,17.4,4
34.009998,17.4,4
34.009998,17.4,4
34.009998,17.4,4
37.23,1.26,1
34.009998,17.4,4
17.700001,24.280001,5
34.009998,17.4,4
34.009998,17.4,4
34.009998,17.4,4
34.009998,17.4,4
37.23,1.26,1
34.009998,17.4,4
37.23,1.26,1
34.009998,17.4,4
37.23,-2.0,1
34.009998,17.4,4
21.799999,7.0,2
37.23,1.26,1
34.009998,17.4,4
34.009998,17.4,4
34.009998,17.4,4
34.009998,17.4,4
37.23,1.26,1
34.009998,18.299999,4
34.009998,17.4,4
