ob1_x,ob1_y,ob1_rot,ob2_x,ob2_y,ob2_rot,ob3_x,ob3_y,ob3_rot,col,id
5.190000,32.500000,4.290000,40.270000,14.730000,5.550000,-39.830002,29.340000,3.490000,0,-1
-23.059999,24.240000,5.560000,-6.880000,36.709999,1.740000,-33.570000,-12.850000,0.620000,0,-1
36.660000,44.139999,0.250000,44.160000,8.940000,4.320000,-21.969999,43.529999,5.010000,0,-1
-23.190001,19.160000,3.020000,9.830000,38.660000,4.150000,-35.310001,5.540000,4.760000,0,-1
-31.860001,28.280001,3.160000,-34.049999,5.540000,3.980000,5.730000,32.840000,3.650000,0,-1
-27.889999,24.670000,2.490000,-39.349998,18.070000,5.410000,-18.120001,39.590000,0.600000,0,-1
-13.700000,38.299999,1.160000,42.630001,-6.750000,0.640000,-28.309999,18.690001,0.940000,0,-1
40.700001,23.520000,1.160000,42.630001,-6.750000,0.640000,-28.309999,18.690001,0.940000,0,-1
34.910000,-10.800000,2.240000,-23.100000,28.440001,5.140000,-11.700000,35.150002,1.620000,0,-1
-20.610001,21.129999,3.260000,-31.000000,21.379999,3.210000,8.500000,43.889999,3.070000,0,-1
-16.660000,32.500000,5.830000,18.260000,21.510000,2.680000,44.139999,31.030001,3.530000,0,-1
34.910000,37.799999,0.980000,-23.100000,28.440001,0.950000,-11.700000,35.150002,3.800000,0,-1
34.910000,6.030000,2.520000,12.100000,28.440001,0.950000,-11.700000,35.150002,2.010000,0,-1
-31.799999,6.030000,2.520000,-23.100000,28.440001,0.950000,-11.700000,35.150002,2.010000,0,-1
-41.400002,40.700001,2.240000,-23.100000,18.200001,4.830000,-2.700000,31.030001,2.210000,0,-1
-37.500000,7.400000,3.240000,-28.600000,28.440001,4.830000,-11.700000,35.150002,1.620000,0,-1
34.910000,16.299999,3.240000,-18.600000,17.900000,4.830000,-11.700000,35.150002,1.620000,0,-1
-14.500000,16.299999,3.240000,-28.600000,28.440001,2.670000,4.900000,31.030001,0.930000,0,-1
34.910000,7.400000,2.520000,-23.100000,28.440001,4.370000,44.139999,16.600000,2.070000,0,-1
34.910000,28.900000,2.520000,-23.100000,28.440001,4.830000,44.139999,-12.100000,0.930000,0,-1
34.910000,9.100000,4.640000,-23.100000,28.440001,0.330000,-11.700000,35.150002,1.620000,0,-1
34.910000,7.400000,2.520000,-41.599998,28.440001,3.300000,-11.700000,35.150002,1.620000,0,-1
34.910000,6.030000,2.520000,-35.599998,28.440001,0.670000,4.300000,31.030001,0.930000,0,-1
41.799999,6.030000,1.680000,-23.100000,28.440001,5.150000,-11.700000,35.150002,1.620000,0,-1
34.910000,34.299999,1.680000,-35.599998,28.440001,0.950000,-11.700000,34.299999,1.620000,0,-1
34.910000,7.400000,2.520000,10.400000,28.440001,5.150000,-11.700000,35.150002,2.640000,0,-1
-36.200001,8.700000,4.180000,-32.500000,28.440001,0.030000,44.139999,28.600000,0.930000,0,-1
34.910000,44.700001,5.050000,-32.500000,28.440001,0.030000,44.139999,31.030001,0.930000,0,-1
34.910000,18.100000,0.330000,-23.100000,28.440001,4.830000,44.139999,31.030001,5.120000,0,-1
34.910000,-12.100000,2.520000,-23.100000,28.440001,5.150000,44.139999,31.030001,0.050000,0,-1
34.910000,7.400000,2.520000,-32.500000,28.440001,0.030000,44.139999,31.030001,1.200000,0,-1
-32.900002,8.700000,4.180000,-23.100000,28.440001,0.950000,-11.700000,35.150002,1.620000,0,-1
-37.000000,6.030000,2.520000,-23.100000,28.440001,3.650000,44.139999,31.030001,0.930000,0,-1
34.910000,6.030000,2.520000,-23.100000,28.440001,4.830000,14.900000,31.030001,0.930000,0,-1
34.910000,43.799999,3.530000,-29.400000,28.400000,0.950000,44.139999,31.030001,0.590000,0,-1
