x,y,risk
16.68,24.799999,0.8478260869565217
27.49,13.02,0.6920152091254753
36.32,-0.15,0.9116883116883117
17.49,35.029999,0.8478260869565217
24.360001,19.84,0.6920152091254753
23.280001,31.51,0.8478260869565217
27.49,13.02,0.6920152091254753
9.64,27.51,0.8478260869565217
23.280001,31.51,0.8478260869565217
24.360001,19.84,0.6920152091254753
16.68,24.799999,0.8478260869565217
27.49,13.02,0.6920152091254753
16.68,24.799999,0.8478260869565217
27.49,13.02,0.6920152091254753
27.49,13.02,0.6920152091254753
23.280001,31.51,0.8478260869565217
9.64,27.51,0.8478260869565217
27.49,13.02,0.6920152091254753
27.49,13.02,0.6920152091254753
16.68,24.799999,0.8478260869565217
27.49,13.02,0.6920152091254753
9.64,27.51,0.8478260869565217
16.68,24.799999,0.8478260869565217
17.299999,24.799999,0.8478260869565217
7.3,34.419998,0.8478260869565217
9.64,27.51,0.8478260869565217
9.64,27.51,0.8478260869565217
9.64,27.51,0.8478260869565217
27.49,13.02,0.6920152091254753
9.64,27.51,0.8478260869565217
9.64,27.51,0.8478260869565217
16.68,24.799999,0.8478260869565217
16.68,24.799999,0.8478260869565217
9.64,27.51,0.8478260869565217
16.68,24.799999,0.8478260869565217
27.49,13.02,0.6920152091254753
16.68,24.799999,0.8478260869565217
27.49,13.02,0.6920152091254753
9.64,27.51,0.8478260869565217
27.49,13.02,0.6920152091254753
9.64,27.51,0.8478260869565217
16.68,24.799999,0.8478260869565217
27.49,13.02,0.6920152091254753
9.64,27.51,0.8478260869565217
27.49,13.02,0.6920152091254753
9.64,28.799999,0.8478260869565217
27.49,13.02,0.6920152091254753
27.49,13.02,0.6920152091254753
16.68,24.799999,0.8478260869565217
16.68,24.799999,0.8478260869565217
27.49,13.02,0.6920152091254753
27.49,13.02,0.6920152091254753
27.49,13.02,0.6920152091254753
9.64,27.51,0.8478260869565217
27.49,21.200001,0.6920152091254753
27.49,13.02,0.6920152091254753
27.49,20.6,0.6920152091254753
16.68,24.799999,0.8478260869565217
27.49,13.02,0.6920152091254753
27.49,13.02,0.6920152091254753
27.49,13.02,0.6920152091254753
9.64,27.51,0.8478260869565217
27.49,13.02,0.6920152091254753
27.49,13.02,0.6920152091254753
16.68,24.799999,0.8478260869565217
27.49,13.02,0.6920152091254753
27.49,4.9,0.9116883116883117
16.68,24.799999,0.8478260869565217
27.49,13.02,0.6920152091254753
27.49,13.02,0.6920152091254753
27.49,13.02,0.6920152091254753
16.68,24.799999,0.8478260869565217
27.49,13.02,0.6920152091254753
16.68,24.799999,0.8478260869565217
16.68,24.799999,0.8478260869565217
27.49,13.02,0.6920152091254753
15.7,24.799999,0.8478260869565217
27.49,13.02,0.6920152091254753
27.49,13.02,0.6920152091254753
27.49,13.02,0.6920152091254753
16.68,24.799999,0.8478260869565217
16.68,24.799999,0.8478260869565217
