ob1_x,ob1_y,ob1_rot,ob2_x,ob2_y,ob2_rot,ob3_x,ob3_y,ob3_rot,col,id
36.939999,20.730000,1.480000,24.719999,16.940001,2.050000,-32.570000,33.779999,5.820000,0,-1
21.160000,21.660000,4.290000,-23.530001,6.840000,4.190000,23.959999,40.200001,1.450000,0,-1
-26.680000,5.920000,4.420000,42.700001,0.160000,4.070000,15.230000,17.750000,5.050000,0,-1
9.830000,40.279999,3.320000,-43.020000,10.130000,5.530000,-11.890000,31.400000,5.300000,0,-1
-35.310001,-2.610000,4.970000,-34.520000,37.099998,3.360000,-17.750000,44.299999,0.270000,0,-1
10.210000,21.070000,1.140000,38.709999,41.740002,4.330000,-37.959999,-12.330000,1.780000,0,-1
-35.110001,24.410000,0.600000,36.130001,38.130001,5.040000,3.180000,34.709999,4.200000,0,-1
13.840000,43.930000,4.620000,-12.040000,41.770000,4.520000,20.570000,27.010000,1.790000,0,-1
44.750000,14.890000,1.630000,-33.549999,5.750000,2.110000,-29.240000,-11.520000,5.330000,0,-1
-27.910000,36.680000,0.830000,30.639999,35.259998,2.720000,-41.860001,-0.280000,1.050000,0,-1
-42.750000,23.209999,0.900000,-36.730000,43.630001,1.080000,-37.740002,-12.820000,1.670000,0,-1
-33.349998,34.380001,2.100000,40.349998,-7.210000,1.290000,-38.529999,16.790001,1.340000,0,-1
24.070000,3.630000,5.430000,35.939999,24.150000,1.080000,11.690000,42.669998,4.060000,0,-1
33.880001,34.049999,4.250000,-34.209999,0.760000,0.910000,-39.930000,29.870001,2.240000,0,-1
-25.320000,43.380001,0.190000,-43.959999,18.020000,5.420000,-38.549999,40.360001,5.620000,0,-1
8.730000,25.480000,1.040000,0.210000,44.939999,4.130000,-30.639999,44.970001,4.810000,0,-1
30.200001,34.500000,4.230000,41.060001,2.640000,2.580000,8.060000,37.270000,3.870000,0,-1
-34.349998,11.900000,0.100000,-42.369999,24.840000,1.170000,-11.300000,40.029999,2.070000,0,-1
17.080000,34.200001,5.690000,1.940000,44.860001,5.000000,25.889999,25.059999,4.470000,0,-1
13.970000,26.700001,1.770000,-14.520000,25.850000,3.720000,31.690001,13.770000,1.720000,0,-1
23.350000,35.230000,3.200000,13.190000,20.309999,0.030000,13.840000,44.970001,4.610000,0,-1
44.730000,0.750000,3.810000,-10.670000,33.500000,4.520000,7.940000,40.849998,0.360000,0,-1
-26.240000,27.719999,4.550000,-40.340000,15.150000,4.430000,22.730000,33.000000,2.720000,0,-1
-37.070000,43.720001,0.890000,41.110001,26.139999,0.940000,38.700001,42.290001,5.290000,0,-1
10.920000,42.270000,3.880000,37.180000,14.350000,2.790000,-38.740002,-2.750000,4.580000,0,-1
22.740000,44.820000,3.890000,-4.070000,30.340000,1.860000,-32.040001,34.349998,4.990000,0,-1
20.100000,37.700001,0.770000,-40.099998,23.049999,4.180000,43.759998,-1.870000,3.090000,0,-1
40.689999,41.049999,5.450000,-41.450001,19.969999,2.060000,-25.530001,33.410000,2.510000,0,-1
20.580000,22.590000,3.760000,-43.639999,12.530000,3.470000,39.709999,-1.270000,3.280000,0,-1
11.750000,43.849998,2.170000,16.400000,30.570000,4.900000,-34.669998,7.800000,2.630000,0,-1
-24.320000,32.349998,0.020000,41.119999,40.520000,2.660000,-41.610001,1.490000,0.540000,0,-1
27.070000,9.340000,3.430000,5.470000,40.480000,0.810000,-16.549999,32.740002,3.670000,0,-1
-35.200001,21.740000,5.220000,1.470000,40.790001,4.720000,-41.610001,43.049999,2.680000,0,-1
-34.330002,3.780000,5.240000,-20.230000,29.299999,0.410000,-31.809999,-9.420000,0.670000,0,-1
-37.990002,23.700001,5.570000,-41.480000,-3.540000,0.030000,18.400000,17.090000,3.400000,0,-1
18.299999,29.230000,4.400000,-22.420000,35.889999,3.330000,-2.850000,37.380001,5.430000,0,-1
17.770000,32.919998,5.680000,29.260000,33.290001,2.070000,-26.559999,35.099998,0.450000,0,-1
22.600000,14.360000,0.670000,36.250000,32.430000,0.290000,-42.459999,12.620000,2.240000,0,-1
10.660000,27.540001,1.580000,-39.180000,39.720001,3.900000,-9.410000,34.740002,4.670000,0,-1
7.470000,33.349998,3.820000,-42.799999,39.340000,2.350000,23.389999,24.010000,2.450000,0,-1
-31.440001,42.049999,5.730000,22.070000,16.809999,1.570000,-12.240000,43.750000,0.760000,0,-1
14.030000,28.040001,3.260000,-32.500000,-0.790000,3.490000,28.350000,37.310001,5.410000,0,-1
-8.520000,31.299999,2.610000,7.820000,42.040001,4.670000,27.469999,14.770000,4.540000,0,-1
-29.900000,43.980000,2.950000,26.190001,37.590000,5.830000,32.840000,22.020000,5.810000,0,-1
15.330000,16.950001,4.900000,-37.279999,-3.370000,0.310000,35.689999,29.809999,1.090000,0,-1
22.830000,33.360001,5.040000,41.560001,21.450001,1.970000,-15.660000,30.309999,3.820000,0,-1
-15.980000,35.520000,2.000000,12.960000,36.520000,2.670000,-3.950000,39.040001,4.430000,0,-1
-31.230000,7.410000,3.170000,-40.689999,17.180000,2.580000,14.190000,35.520000,4.650000,0,-1
-22.940001,36.740002,3.800000,16.600000,28.410000,3.310000,0.220000,40.009998,2.760000,0,-1
41.770000,-8.700000,3.860000,-23.000000,-11.560000,3.980000,40.029999,16.230000,0.490000,0,-1
-11.810000,40.580002,4.830000,37.240002,4.510000,2.970000,-24.080000,28.680000,3.860000,0,-1
-26.150000,43.860001,1.170000,43.540001,-5.020000,4.500000,44.860001,9.660000,5.200000,0,-1
-20.440001,7.970000,1.760000,-3.140000,44.459999,3.660000,-33.540001,33.639999,5.080000,0,-1
-12.820000,23.750000,0.030000,-34.660000,21.030001,0.220000,24.680000,41.290001,4.100000,0,-1
-37.750000,44.650002,3.560000,33.450001,-12.810000,2.560000,-13.290000,30.090000,2.400000,0,-1
-36.660000,13.780000,3.750000,32.610001,24.790001,4.280000,31.809999,9.310000,1.460000,0,-1
21.360001,34.419998,4.460000,41.740002,-8.390000,5.380000,35.860001,40.009998,3.080000,0,-1
-43.950001,6.950000,1.790000,-35.910000,-7.880000,5.350000,39.029999,10.310000,5.000000,0,-1
-40.009998,-4.510000,4.680000,8.130000,35.669998,2.660000,-8.550000,38.770000,3.290000,0,-1
