ob1_x,ob1_y,ob1_rot,ob2_x,ob2_y,ob2_rot,ob3_x,ob3_y,ob3_rot,col,id
16.270000,31.570000,1.880000,-43.009998,33.279999,5.690000,36.799999,8.010000,1.430000,1,14
-38.410000,17.040001,4.330000,14.140000,31.250000,1.590000,34.480000,2.950000,0.080000,1,14
15.280000,25.940001,1.620000,42.270000,42.689999,0.390000,-24.129999,38.209999,5.790000,1,12
-17.850000,38.160000,0.660000,18.340000,22.940001,0.990000,33.520000,31.820000,5.070000,1,13
16.440001,22.030001,3.170000,39.529999,25.219999,2.760000,36.080002,43.730000,2.470000,1,12
16.270000,31.570000,1.880000,-43.009998,33.279999,5.690000,36.799999,8.010000,1.430000,1,14
-38.410000,17.040001,4.330000,14.140000,31.250000,1.590000,34.480000,2.950000,0.080000,1,14
-17.850000,38.160000,0.660000,18.340000,22.940001,0.990000,34.480000,2.950000,0.750000,1,14
-17.850000,38.160000,0.660000,18.340000,22.940001,0.990000,33.520000,31.820000,5.070000,1,13
-17.850000,38.160000,0.660000,18.340000,22.940001,0.990000,33.520000,31.820000,5.070000,1,13
-17.850000,38.160000,0.660000,27.600000,33.279999,5.690000,36.799999,8.010000,1.430000,1,14
16.270000,31.570000,1.880000,-43.009998,33.279999,5.690000,36.799999,8.010000,1.430000,1,14
-38.410000,17.040001,4.330000,14.140000,31.250000,1.590000,34.480000,2.950000,0.080000,1,14
-17.850000,38.160000,0.660000,18.340000,22.940001,0.990000,36.799999,8.010000,1.430000,1,14
-17.850000,38.160000,0.660000,14.140000,31.250000,1.590000,34.480000,2.950000,0.080000,1,14
16.270000,31.570000,1.880000,-43.009998,33.279999,5.690000,36.799999,8.010000,1.430000,1,14
-38.410000,17.040001,4.330000,14.140000,31.250000,1.590000,34.480000,2.950000,0.080000,1,14
-17.850000,38.160000,0.660000,14.140000,31.250000,1.590000,34.480000,2.950000,0.080000,1,14
33.200001,38.160000,0.660000,14.140000,31.250000,1.590000,34.480000,2.950000,0.080000,1,14
-38.410000,17.040001,4.330000,14.140000,31.250000,1.590000,34.480000,2.950000,0.080000,1,14
-38.410000,17.040001,4.330000,-42.900002,31.250000,1.880000,34.480000,2.950000,0.080000,1,14
-3.000000,38.160000,0.660000,18.340000,22.940001,4.070000,36.799999,8.010000,1.430000,1,14
15.000000,31.570000,1.880000,-43.009998,33.279999,5.690000,36.799999,8.010000,1.430000,1,14
-38.410000,17.040001,4.330000,17.799999,31.250000,1.590000,36.799999,8.010000,1.430000,1,14
16.270000,31.570000,1.880000,-43.009998,28.500000,5.690000,34.480000,2.950000,0.080000,1,14
16.270000,31.570000,1.880000,-43.009998,33.279999,5.690000,36.799999,8.010000,1.430000,1,14
-38.410000,17.040001,4.330000,14.140000,31.250000,1.590000,34.480000,2.950000,0.080000,1,14
33.200001,38.160000,0.660000,-38.599998,31.250000,1.590000,34.480000,2.950000,0.080000,1,14
-38.410000,17.040001,5.300000,14.140000,31.250000,1.590000,34.480000,2.950000,3.870000,1,14
-38.410000,23.799999,2.930000,14.140000,31.250000,1.590000,34.480000,2.950000,0.080000,1,14
-38.410000,17.040001,3.980000,14.140000,31.250000,1.590000,36.799999,8.010000,1.430000,1,14
-3.000000,38.160000,0.660000,18.340000,22.940001,4.070000,34.480000,2.950000,0.080000,1,14
-38.410000,17.040001,1.770000,-42.900002,31.250000,1.880000,36.799999,8.010000,1.430000,1,14
15.000000,31.570000,3.770000,-43.009998,33.279999,5.690000,34.480000,2.950000,0.080000,1,14
16.270000,31.570000,1.880000,-43.009998,33.279999,5.690000,36.799999,8.010000,1.430000,1,14
-38.410000,17.040001,4.330000,14.140000,31.250000,1.590000,34.480000,2.950000,0.080000,1,14
-5.300000,38.160000,0.660000,-38.599998,31.250000,1.590000,34.480000,2.950000,0.080000,1,14
33.200001,38.160000,0.660000,-1.900000,31.250000,1.590000,34.480000,2.950000,0.080000,1,14
-38.410000,17.040001,1.770000,-38.599998,31.250000,1.590000,34.480000,2.950000,0.080000,1,14
33.200001,38.160000,0.660000,-42.900002,31.250000,3.530000,36.799999,8.010000,1.430000,1,14
33.200001,38.160000,2.410000,-42.900002,31.250000,1.880000,36.799999,8.010000,1.430000,1,14
