ob1_x,ob1_y,ob1_rot,ob2_x,ob2_y,ob2_rot,ob3_x,ob3_y,ob3_rot,col,id
20.680000,20.860001,1.390000,-25.770000,-10.700000,5.410000,40.150002,16.320000,1.060000,1,16
-26.600000,39.119999,2.240000,-36.400002,-7.070000,3.000000,20.209999,17.610001,1.710000,1,14
6.290000,37.400002,1.600000,17.570000,44.910000,3.620000,-34.599998,2.670000,0.420000,1,16
20.680000,20.860001,1.390000,-25.770000,-10.700000,5.410000,40.150002,16.320000,1.060000,1,12
-26.600000,39.119999,2.240000,-36.400002,-7.070000,3.000000,20.209999,17.610001,1.710000,1,14
-8.400000,39.119999,2.720000,-36.400002,-7.070000,3.000000,20.209999,17.610001,1.710000,1,14
-26.600000,39.119999,2.470000,-36.400002,19.600000,3.000000,20.209999,17.610001,1.710000,1,14
20.680000,20.860001,1.390000,-25.770000,-10.700000,5.410000,40.150002,44.500000,1.060000,1,16
20.680000,20.860001,1.390000,-25.770000,-10.700000,5.410000,40.150002,16.320000,1.060000,1,12
20.680000,20.860001,1.390000,17.570000,44.910000,3.620000,-34.599998,-11.400000,0.420000,1,16
6.290000,37.400002,1.600000,-36.400002,-7.070000,1.690000,20.209999,17.610001,1.710000,1,14
20.680000,20.860001,1.390000,-25.770000,-10.700000,5.410000,40.150002,16.320000,1.060000,1,12
-26.600000,39.119999,2.240000,-36.400002,-7.070000,3.000000,20.209999,17.610001,1.710000,1,14
20.680000,20.860001,1.390000,-25.770000,-10.700000,5.410000,40.150002,16.320000,1.060000,1,16
20.680000,20.860001,1.390000,-25.770000,-2.800000,5.410000,40.150002,44.500000,1.060000,1,16
-26.600000,39.119999,2.470000,-36.400002,19.600000,4.680000,20.209999,17.610001,1.710000,1,14
-26.600000,39.119999,2.240000,-36.400002,-7.070000,3.000000,20.209999,17.610001,0.310000,1,14
20.680000,20.860001,0.470000,-25.770000,-10.700000,5.410000,40.150002,16.320000,1.060000,1,16
20.680000,20.860001,3.120000,-25.770000,-10.700000,5.310000,40.150002,16.320000,1.060000,1,12
-26.600000,39.119999,2.240000,-36.400002,-7.070000,3.000000,20.209999,17.610001,4.810000,1,14
-26.600000,39.119999,2.240000,-36.400002,-7.070000,3.000000,20.209999,17.610001,1.710000,1,14
20.680000,20.860001,1.390000,-25.770000,-10.700000,5.410000,40.150002,16.320000,1.060000,1,12
-26.600000,39.119999,2.240000,-36.400002,-7.070000,3.000000,20.209999,17.610001,1.710000,1,16
20.680000,20.860001,1.390000,-25.770000,35.599998,5.410000,40.150002,16.320000,1.060000,1,16
20.680000,20.860001,0.470000,-25.770000,-10.700000,4.600000,40.150002,16.320000,1.060000,1,12
-26.600000,39.119999,2.240000,-36.400002,-7.070000,5.690000,20.209999,17.610001,4.810000,1,14
-26.600000,39.119999,2.240000,-36.400002,-7.070000,3.000000,-44.000000,17.610001,0.310000,1,16
20.680000,20.860001,3.120000,-25.770000,-10.700000,5.310000,-40.099998,17.610001,1.710000,1,-1
-26.600000,39.119999,2.240000,-36.400002,10.700000,3.000000,40.150002,16.320000,1.060000,1,16
-26.600000,44.000000,2.240000,-36.400002,-7.070000,3.000000,20.209999,17.610001,4.170000,1,14
-26.600000,39.119999,2.240000,-36.400002,-8.800000,3.000000,20.209999,17.610001,1.710000,1,14
20.680000,20.860001,1.390000,-25.770000,-10.700000,5.410000,40.150002,16.320000,1.060000,1,12
-26.600000,39.119999,2.240000,-36.400002,-7.070000,3.000000,20.209999,17.610001,1.710000,1,14
-26.600000,19.299999,2.240000,-36.400002,14.000000,3.000000,40.150002,16.320000,1.060000,1,-1
32.099998,20.860001,1.390000,-25.770000,-10.700000,5.410000,20.209999,17.610001,4.170000,1,14
20.680000,20.860001,2.470000,-25.770000,35.599998,1.060000,40.150002,16.320000,1.060000,1,12
20.680000,20.860001,1.390000,-25.770000,35.599998,5.410000,40.150002,16.320000,1.060000,1,16
-26.600000,39.119999,2.240000,-36.400002,-8.800000,3.000000,-44.000000,18.000000,3.450000,1,16
-26.600000,39.119999,2.240000,-36.400002,-7.070000,3.000000,20.209999,17.610001,1.390000,1,14
20.680000,20.860001,1.390000,-25.770000,-10.700000,5.410000,40.150002,16.320000,1.060000,1,12
-26.600000,39.119999,2.240000,-36.400002,-7.070000,3.000000,20.209999,17.610001,1.710000,1,14
20.680000,20.860001,1.390000,-25.770000,-10.700000,5.410000,40.150002,16.320000,1.060000,1,16
20.680000,39.599998,1.390000,-25.770000,-10.700000,5.410000,40.150002,16.320000,1.060000,1,16
20.680000,20.860001,3.050000,-25.770000,-10.700000,5.410000,40.150002,16.320000,1.060000,1,16
-26.600000,39.119999,3.760000,-36.400002,-7.070000,3.000000,20.209999,17.610001,1.710000,1,14
-26.600000,39.119999,2.240000,-36.400002,-7.070000,3.000000,20.209999,17.610001,1.390000,1,14
-12.400000,39.119999,2.240000,-36.400002,-8.800000,4.340000,20.209999,17.610001,1.390000,1,16
-26.600000,39.119999,2.240000,-36.400002,-7.070000,3.000000,-44.000000,18.000000,3.450000,1,-1
20.680000,20.860001,1.390000,-25.770000,-10.700000,5.410000,40.150002,16.320000,1.060000,1,12
-26.600000,39.119999,2.240000,-36.400002,-7.070000,3.000000,20.209999,17.610001,1.710000,1,14
20.680000,20.860001,1.390000,-38.700001,-10.700000,5.410000,40.150002,16.320000,1.060000,1,12
20.680000,20.860001,1.090000,-25.770000,-10.700000,5.410000,40.150002,16.320000,1.060000,1,12
-26.600000,39.119999,2.240000,-36.400002,-7.070000,3.000000,40.150002,16.320000,1.100000,1,16
20.680000,39.700001,1.390000,-25.770000,-10.700000,2.320000,-44.000000,18.000000,3.450000,1,16
-26.600000,39.119999,3.760000,-36.400002,-7.070000,3.000000,20.209999,17.610001,1.710000,1,14
-26.600000,39.119999,3.760000,-36.400002,-7.070000,3.000000,-42.099998,17.610001,1.710000,1,16
20.680000,20.860001,1.390000,-25.770000,-10.700000,5.410000,40.150002,16.320000,1.060000,1,12
-26.600000,39.119999,2.240000,-36.400002,-7.070000,3.000000,20.209999,17.610001,1.710000,1,14
20.680000,20.860001,1.390000,-25.770000,-10.700000,2.320000,-44.000000,7.000000,3.450000,1,12
20.680000,39.700001,1.390000,-38.700001,-10.700000,5.410000,40.150002,16.320000,5.340000,1,16
-26.600000,39.119999,1.870000,-36.400002,-7.070000,3.000000,20.209999,17.610001,1.710000,1,16
-20.600000,39.119999,3.760000,-36.400002,-7.070000,3.000000,20.209999,17.610001,1.710000,1,14
24.000000,39.119999,3.760000,-36.400002,-7.070000,3.000000,20.209999,17.610001,1.710000,1,14
42.900002,39.700001,1.390000,-25.770000,-10.700000,2.320000,20.209999,17.610001,1.710000,1,14
20.680000,20.860001,1.390000,-25.770000,-10.700000,5.410000,40.150002,16.320000,1.060000,1,16
-26.600000,39.119999,2.240000,-36.400002,-7.070000,3.000000,20.209999,17.610001,1.710000,1,14
-26.600000,39.119999,1.870000,-25.770000,-10.700000,5.410000,40.150002,16.320000,1.340000,1,16
-19.900000,20.860001,1.390000,-36.400002,-7.070000,3.000000,20.209999,17.610001,1.710000,1,14
42.900002,39.700001,1.390000,-25.770000,-10.700000,2.320000,20.209999,17.610001,5.190000,1,14
24.000000,39.119999,3.760000,-36.400002,-7.070000,3.000000,20.209999,17.610001,1.710000,1,14
-26.600000,39.119999,2.240000,-36.400002,-7.070000,3.000000,20.209999,17.610001,1.710000,1,14
-26.600000,39.119999,0.070000,-36.400002,-7.070000,3.000000,20.209999,17.610001,1.710000,1,14
20.680000,39.700001,1.390000,-36.400002,-7.070000,3.000000,20.209999,18.200001,1.710000,1,14
-26.600000,0.100000,2.240000,-38.700001,-10.700000,5.410000,40.150002,7.600000,5.340000,1,16
20.680000,20.860001,1.390000,-25.770000,-10.700000,5.410000,40.150002,16.320000,1.060000,1,12
-26.600000,39.119999,2.240000,-36.400002,-7.070000,3.000000,20.209999,17.610001,1.710000,1,14
-19.900000,20.860001,1.390000,-36.400002,-7.070000,3.000000,20.209999,17.610001,4.490000,1,14
-19.900000,20.860001,1.390000,-36.400002,-7.070000,3.000000,20.209999,17.610001,1.710000,1,14
-27.000000,20.860001,1.390000,-36.400002,-7.070000,0.420000,20.209999,17.610001,1.710000,1,14
-26.600000,19.200001,2.200000,-36.400002,-7.070000,3.000000,20.209999,17.610001,1.710000,1,14
