ob1_x,ob1_y,ob1_rot,ob2_x,ob2_y,ob2_rot,ob3_x,ob3_y,ob3_rot,col,id
36.330002,2.780000,2.080000,24.820000,25.309999,2.510000,20.830000,39.130001,0.290000,0,-1
30.730000,28.830000,4.800000,-43.090000,12.980000,1.200000,-3.160000,44.779999,0.530000,0,-1
31.360001,29.100000,2.090000,37.070000,-12.320000,2.750000,-34.619999,13.930000,1.470000,0,-1
-37.709999,14.690000,4.040000,-26.030001,41.020000,5.340000,-43.369999,-1.760000,5.550000,0,-1
-32.480000,28.590000,2.530000,-22.510000,-5.900000,1.180000,30.600000,31.120001,2.010000,0,-1
-8.830000,21.570000,4.360000,-29.299999,1.830000,0.910000,19.190001,23.980000,2.200000,0,-1
-6.490000,36.200001,4.960000,37.180000,5.620000,3.130000,18.010000,28.010000,3.240000,0,-1
21.059999,40.990002,5.400000,-41.709999,15.670000,2.160000,12.620000,29.889999,5.120000,0,-1
15.190000,44.400002,1.820000,-41.709999,15.670000,2.160000,12.620000,29.889999,5.120000,0,-1
-23.350000,25.190001,4.550000,-41.709999,15.670000,2.160000,12.620000,29.889999,5.120000,0,-1
21.059999,40.990002,5.400000,-6.230000,37.700001,0.870000,-16.690001,44.430000,4.430000,0,-1
15.190000,39.959999,1.820000,40.299999,8.580000,2.780000,-16.690001,44.430000,4.430000,0,-1
-23.350000,25.190001,4.550000,8.600000,28.860001,0.870000,-39.389999,-3.620000,5.670000,0,-1
29.100000,25.190001,4.480000,-6.230000,28.860001,0.870000,-16.690001,44.430000,4.430000,0,-1
-23.350000,25.190001,4.550000,-6.230000,28.860001,0.870000,-16.690001,44.430000,4.430000,0,-1
-23.350000,34.900002,4.550000,-6.230000,28.860001,0.870000,-39.389999,-3.620000,5.670000,0,-1
-23.350000,25.190001,4.550000,-6.230000,28.860001,0.870000,-39.389999,-3.620000,5.670000,0,-1
-23.350000,25.190001,4.550000,-37.439999,8.580000,2.780000,-39.389999,-3.620000,5.670000,0,-1
-23.350000,25.190001,4.550000,-6.230000,28.860001,0.720000,-16.690001,44.430000,4.430000,0,-1
21.059999,21.400000,2.910000,-6.230000,28.860001,0.680000,-16.690001,44.430000,4.430000,0,-1
-23.350000,25.190001,4.550000,-43.500000,8.580000,1.290000,-39.389999,-3.620000,5.670000,0,-1
21.059999,21.400000,2.380000,-6.230000,28.860001,4.190000,-16.690001,44.430000,4.430000,0,-1
21.059999,21.400000,5.300000,7.200000,40.299999,2.300000,-39.389999,-3.620000,5.670000,0,-1
-23.350000,25.190001,4.550000,32.900002,28.860001,3.890000,-16.690001,44.430000,4.430000,0,-1
21.059999,32.500000,3.030000,37.799999,8.580000,2.780000,-16.690001,44.430000,4.430000,0,-1
21.059999,28.600000,4.000000,-37.439999,8.580000,2.780000,-16.690001,44.430000,4.430000,0,-1
-25.500000,21.400000,5.350000,37.799999,8.580000,3.360000,-39.389999,-3.620000,5.670000,0,-1
-44.500000,21.400000,5.350000,37.799999,8.580000,3.940000,-39.389999,-3.620000,5.670000,0,-1
-33.400002,21.400000,2.300000,-37.439999,8.580000,2.780000,-16.690001,44.430000,4.430000,0,-1
21.059999,37.700001,3.030000,-37.439999,20.500000,2.780000,-39.389999,-3.620000,5.670000,0,-1
21.059999,21.400000,3.780000,37.799999,11.900000,2.780000,-39.389999,-3.620000,5.670000,0,-1
21.059999,21.400000,5.260000,-37.439999,40.299999,2.300000,-39.389999,-3.620000,5.670000,0,-1
41.500000,21.400000,3.030000,-6.230000,28.860001,3.240000,-16.690001,44.430000,4.430000,0,-1
21.059999,21.400000,3.030000,-2.900000,35.299999,2.780000,-16.690001,44.430000,4.430000,0,-1
-6.600000,21.400000,3.030000,-37.439999,40.299999,2.300000,-16.690001,44.430000,4.430000,0,-1
21.059999,21.400000,2.410000,-37.439999,-7.400000,2.780000,-16.690001,44.430000,4.430000,0,-1
44.000000,21.400000,3.030000,-37.439999,8.580000,1.980000,-39.389999,-3.620000,5.670000,0,-1
-8.900000,21.400000,3.030000,-37.439999,3.200000,2.780000,-16.690001,44.430000,4.430000,0,-1
21.059999,21.400000,3.030000,-37.439999,40.299999,2.300000,-16.690001,44.430000,4.430000,0,-1
