ob1_x,ob1_y,ob1_rot,ob2_x,ob2_y,ob2_rot,ob3_x,ob3_y,ob3_rot,col,id
34.009998,17.400000,1.580000,-11.290000,40.270000,1.650000,-21.160000,24.280001,4.020000,1,12
37.230000,1.260000,0.710000,14.050000,28.950001,0.890000,-27.150000,42.259998,3.130000,1,12
26.870001,5.710000,1.550000,20.059999,15.120000,2.890000,-27.379999,23.740000,1.660000,1,12
-32.410000,-7.750000,2.620000,30.870001,5.590000,4.990000,1.980000,35.520000,3.900000,1,13
40.279999,-12.650000,2.910000,-39.580002,-11.550000,2.580000,36.240002,12.610000,5.240000,1,14
34.009998,17.400000,1.580000,-11.290000,40.270000,1.650000,-21.160000,24.280001,4.020000,1,12
37.230000,1.260000,0.710000,14.050000,28.950001,0.890000,-27.150000,42.259998,3.130000,1,12
40.279999,15.000000,2.910000,20.059999,15.120000,2.890000,-27.379999,23.740000,2.450000,1,13
26.870001,5.710000,1.550000,-39.580002,-11.550000,5.320000,36.240002,12.610000,5.240000,1,12
34.009998,15.100000,1.580000,-11.290000,40.270000,1.650000,-25.500000,35.520000,3.900000,1,12
-32.410000,-7.750000,2.620000,30.870001,5.590000,4.990000,-21.160000,41.799999,4.020000,1,13
-32.410000,-7.750000,2.620000,30.870001,5.590000,4.990000,36.240002,35.099998,5.240000,1,13
26.870001,5.710000,1.550000,41.700001,-11.550000,2.580000,36.240002,12.610000,5.240000,1,12
40.279999,-12.650000,2.910000,20.059999,15.120000,1.870000,-27.379999,23.740000,1.660000,1,13
34.009998,17.400000,1.580000,-11.290000,40.270000,1.650000,-21.160000,24.280001,4.020000,1,12
37.230000,1.260000,0.710000,14.050000,28.950001,0.890000,-27.150000,42.259998,3.130000,1,12
-32.410000,-7.750000,2.620000,20.059999,15.120000,3.150000,-27.379999,23.740000,1.660000,1,13
-30.400000,-12.650000,2.910000,20.059999,15.120000,1.870000,36.240002,35.099998,5.240000,1,13
-32.410000,-7.750000,2.620000,30.870001,5.590000,4.990000,-27.379999,23.740000,1.660000,1,13
26.870001,2.100000,1.550000,14.050000,28.950001,0.890000,-27.150000,42.259998,2.980000,1,12
37.230000,1.260000,0.710000,41.700001,-11.550000,2.580000,36.240002,12.610000,1.010000,1,12
