ob1_x,ob1_y,ob1_rot,ob2_x,ob2_y,ob2_rot,ob3_x,ob3_y,ob3_rot,col,id
-31.320000,-8.980000,0.980000,27.920000,21.629999,1.050000,28.340000,34.980000,3.410000,0,-1
-43.590000,35.160000,2.240000,-44.529999,11.930000,2.220000,43.840000,12.500000,3.820000,0,-1
-3.140000,39.840000,5.760000,-34.310001,-9.100000,4.670000,-34.869999,4.630000,2.090000,0,-1
-31.920000,43.520000,2.770000,-38.759998,34.910000,3.330000,-39.139999,3.110000,2.550000,0,-1
41.270000,36.630001,3.330000,22.520000,28.920000,3.260000,-21.620001,-11.990000,4.200000,0,-1
-6.870000,42.380001,2.870000,38.040001,41.240002,1.800000,15.450000,42.220001,5.720000,0,-1
32.450001,37.730000,2.310000,-32.130001,24.090000,3.770000,32.790001,24.680000,4.580000,0,-1
29.690001,41.910000,4.460000,-4.080000,38.610001,4.030000,-40.880001,29.190001,3.370000,0,-1
-33.660000,9.200000,4.520000,-27.500000,25.480000,2.350000,44.360001,-10.680000,2.210000,0,-1
-29.170000,2.980000,1.240000,40.369999,43.049999,3.660000,-2.990000,35.150002,1.230000,0,-1
-32.209999,24.500000,5.530000,11.160000,33.470001,2.950000,29.740000,40.759998,4.480000,0,-1
-5.380000,33.840000,0.030000,-33.169998,25.620001,1.300000,22.379999,34.919998,0.160000,0,-1
-42.779999,16.850000,0.570000,43.540001,32.290001,0.710000,-28.370001,26.700001,5.570000,0,-1
-39.009998,25.620001,4.630000,39.529999,10.420000,2.880000,-37.139999,-12.470000,4.210000,0,-1
41.380001,42.200001,4.140000,-31.480000,-5.550000,1.570000,-5.890000,38.810001,2.960000,0,-1
-24.150000,39.669998,5.280000,-31.000000,-5.310000,1.000000,-39.029999,8.170000,5.960000,0,-1
-33.900002,30.920000,3.710000,-21.030001,35.240002,3.770000,-41.070000,19.280001,4.850000,0,-1
-7.150000,37.150002,5.760000,30.330000,36.580002,0.310000,-39.889999,10.890000,4.740000,0,-1
42.290001,17.520000,2.950000,31.240000,7.840000,2.010000,34.689999,33.480000,3.900000,0,-1
-34.950001,22.940001,0.930000,31.350000,9.390000,2.920000,-13.260000,39.630001,2.490000,0,-1
-11.680000,42.270000,4.340000,11.350000,41.830002,5.470000,39.230000,-5.000000,3.230000,0,-1
35.970001,36.009998,5.630000,-33.470001,6.400000,3.720000,41.959999,22.690001,3.650000,0,-1
19.170000,32.980000,3.120000,-37.619999,-12.390000,4.650000,-32.090000,-0.820000,0.220000,0,-1
-15.860000,41.130001,0.830000,40.580002,-4.710000,5.630000,27.209999,38.400002,3.830000,0,-1
44.070000,13.260000,1.120000,24.270000,4.750000,2.300000,-39.919998,3.470000,3.300000,0,-1
36.570000,30.440001,0.940000,-16.450001,35.080002,1.800000,-36.250000,4.070000,3.750000,0,-1
19.240000,32.660000,4.870000,-37.619999,-7.410000,1.100000,-41.680000,27.350000,1.200000,0,-1
30.030001,32.950001,4.480000,-38.770000,27.950001,0.200000,-27.209999,-12.240000,5.150000,0,-1
-34.430000,26.920000,3.250000,-44.060001,40.240002,0.060000,-31.620001,4.650000,2.950000,0,-1
-5.540000,38.770000,4.620000,30.600000,12.570000,1.450000,42.759998,31.420000,1.790000,0,-1
-15.140000,33.400002,3.720000,-36.919998,30.870001,5.590000,3.330000,35.830002,2.570000,0,-1
-42.380001,38.070000,4.890000,-33.139999,8.080000,2.530000,38.610001,-0.530000,4.780000,0,-1
31.840000,15.010000,0.720000,19.850000,41.840000,1.220000,-32.630001,2.400000,4.960000,0,-1
23.160000,34.230000,5.710000,-15.010000,19.129999,4.720000,-39.630001,10.690000,3.270000,0,-1
-42.950001,-2.630000,4.820000,-2.520000,33.380001,1.350000,-30.129999,-11.650000,5.860000,0,-1
-43.310001,-5.150000,0.810000,-33.910000,34.200001,4.830000,-27.790001,44.570000,5.550000,0,-1
-40.130001,43.900002,1.800000,41.000000,28.299999,2.570000,-23.129999,-12.510000,3.600000,0,-1
-15.690000,40.650002,5.960000,35.430000,-12.960000,3.790000,2.560000,40.119999,1.050000,0,-1
-36.020000,10.520000,5.580000,-22.400000,37.720001,0.810000,30.719999,35.889999,5.770000,0,-1
39.340000,21.160000,2.870000,-43.990002,22.790001,5.070000,-31.700001,37.630001,4.790000,0,-1
32.400002,25.410000,0.210000,-42.340000,18.430000,4.310000,-31.370001,-9.640000,3.740000,0,-1
-21.160000,7.920000,1.150000,-43.540001,4.260000,0.740000,36.430000,36.840000,3.570000,0,-1
44.450001,27.080000,3.000000,-35.490002,17.379999,5.730000,-40.290001,-7.370000,4.020000,0,-1
-4.360000,38.439999,3.710000,-43.200001,1.500000,5.590000,44.950001,-12.890000,1.490000,0,-1
-26.440001,-9.190000,0.630000,28.100000,22.490000,1.160000,-28.379999,35.740002,2.600000,0,-1
-27.070000,29.889999,2.070000,14.280000,40.029999,4.750000,24.080000,3.720000,2.080000,0,-1
-44.419998,24.879999,1.890000,35.889999,9.050000,5.170000,32.139999,31.040001,2.490000,0,-1
-6.340000,43.060001,0.910000,43.820000,-10.340000,0.490000,-34.299999,-8.780000,0.960000,0,-1
