ob1_x,ob1_y,ob1_rot,ob2_x,ob2_y,ob2_rot,ob3_x,ob3_y,ob3_rot,col,id
16.680000,24.799999,2.280000,-21.139999,37.919998,1.530000,37.430000,34.419998,0.670000,1,12
27.490000,13.020000,1.740000,-34.049999,35.430000,5.900000,37.070000,21.639999,3.700000,1,12
36.320000,-0.150000,1.350000,18.980000,14.130000,0.130000,38.869999,14.570000,1.040000,1,12
-42.299999,10.750000,5.160000,9.640000,27.510000,5.070000,-41.259998,41.349998,4.600000,1,15
36.200001,-10.770000,2.410000,41.459999,2.810000,2.760000,17.490000,35.029999,5.180000,1,14
41.740002,23.629999,3.370000,24.360001,19.840000,2.190000,43.709999,-11.050000,2.780000,1,13
23.280001,31.510000,5.880000,39.570000,11.880000,2.680000,-44.060001,3.060000,0.440000,1,12
27.490000,13.020000,1.740000,-34.049999,35.430000,5.900000,37.070000,21.639999,3.700000,1,12
41.740002,23.629999,3.370000,9.640000,27.510000,5.070000,-41.259998,41.349998,4.600000,1,13
23.280001,31.510000,0.060000,39.570000,11.880000,2.680000,-44.060001,23.500000,0.440000,1,12
-42.299999,10.750000,5.160000,9.640000,27.510000,5.070000,43.709999,-11.050000,2.780000,1,15
41.740002,23.629999,5.450000,24.360001,19.840000,2.190000,-41.259998,41.349998,4.600000,1,13
16.680000,24.799999,5.990000,-21.139999,37.919998,1.530000,37.070000,21.639999,3.700000,1,12
27.490000,13.020000,1.740000,-34.049999,35.430000,2.880000,37.430000,34.419998,0.670000,1,12
16.680000,24.799999,2.280000,-21.139999,37.919998,1.530000,37.430000,34.419998,0.670000,1,12
27.490000,13.020000,1.740000,-34.049999,35.430000,5.900000,37.070000,21.639999,3.700000,1,12
27.490000,13.020000,1.740000,9.640000,27.510000,5.070000,43.709999,10.400000,2.780000,1,12
23.280001,31.510000,0.060000,39.570000,11.880000,2.680000,-41.259998,41.349998,2.830000,1,12
41.740002,23.629999,3.370000,9.640000,27.510000,5.730000,-31.400000,23.500000,0.440000,1,15
-42.299999,10.750000,5.160000,9.640000,27.510000,5.070000,43.709999,-11.050000,2.780000,1,13
-42.799999,10.750000,5.160000,9.640000,27.510000,5.070000,43.709999,-11.050000,1.730000,1,15
27.490000,13.020000,5.830000,-34.049999,35.430000,2.880000,-8.400000,34.419998,0.670000,1,12
27.490000,13.020000,1.740000,-34.049999,35.430000,5.900000,37.070000,21.639999,3.700000,1,12
16.680000,24.799999,2.280000,-21.139999,37.919998,1.530000,37.430000,34.419998,0.670000,1,12
27.490000,13.020000,1.740000,-34.049999,35.430000,5.900000,37.070000,21.639999,3.700000,1,12
-42.799999,10.750000,5.160000,9.640000,27.510000,5.070000,37.430000,34.419998,0.670000,1,13
16.680000,24.799999,2.280000,-21.139999,25.799999,1.530000,43.709999,-11.050000,1.730000,1,12
